ID,Conflict,Year,Month,Day,Text,Latitude,Longitude,Fatalities,ThemesString,Target of attack
706532,Iraq,2019,6,17,"Coalition airstrikes destroy an ISIS tunnel complex in Kasib valley, Nineveh province, killing 16 militants in the process. ",35.827247 ,43.310400 ,1,Armed clashes/Violent incidents,ISIS
706533,Iraq,2019,6,3,"A group of ISIS militants are ambushed and killed by Iraqi security forces in Rahhaliya district, Anbar province. The number of fatalities is unknown. ",32.725215 ,43.363543 ,1,Armed clashes/Violent incidents,ISIS
706534,Iraq,2019,6,5,"An airstrike by the US-led coalition targeting ISIS tunnel complexes in Tharthar Valley, Anbar province, kills six militants, one of whom is a prominent ISIS leader with the title of ‘Emir of Wilayat al-Jazeera.’ Two militant vehicles are also destroyed in the strike. ",33.703889 ,43.494722 ,1,Armed clashes/Violent incidents,PMU checkpoint
706535,Iraq,2019,6,24,"ISIS militants launch an attack against civilians in Wardiya village, Kirkuk province, killing three people. ",35.274722 ,43.596389 ,1,Armed clashes/Violent incidents,Iraqi Army - checkpoint
706536,Iraq,2019,6,29,"ISIS militants launch an attack on a federal police checkpoint in Balad district, Salahuddin province, killing one police officer and wounding another three. ",34.007979 ,44.147808 ,1,Armed clashes/Violent incidents,ISIS
706537,Iraq,2019,7,7,"Iraqi forces kill two ISIS militants in al-Ghazaliya neighbourhood, Baghdad, as part of a security operation in the area. ",33.341513 ,44.281524 ,1,Armed clashes/Violent incidents,ISIS
706538,Iraq,2019,6,24,Iraqi counter-terror forces kill 14 ISIS militants in an operation in southern Kirkuk. ,35.464443 ,44.379449 ,1,Armed clashes/Violent incidents,ISIS
706539,Iraq,2019,6,11,"Iraqi security forces kill three ISIS militants and destroy several of their hideouts in Alf village, Kirkuk province. A large cache of weapons and ammunitions is also found. ",35.463041 ,44.383912 ,1,Armed clashes/Violent incidents,ISIS
706540,Iraq,2019,6,21,"An ISIS attack on an Iraqi military checkpoint east of Baqubah, Diyala province, kills one soldier and wounds another. ",33.741111 ,44.622222 ,1,Armed clashes/Violent incidents,ISIS
706541,Iraq,2019,6,3,"ISIS militants attack a police checkpoint in Buhriz, Diyala province, injuring two police officers. ",33.709722 ,44.655000 ,1,Armed clashes/Violent incidents,ISIS
706542,Iraq,2019,6,19,"Iraqi airstrikes kill two ISIS militants and destroy a terrorist hideout in al-Makhisa village, Diyala province. ",33.909917 ,44.732770 ,1,Armed clashes/Violent incidents,Civilians
706543,Iraq,2019,6,8,"Iraqi security forces clash with one ISIS member in Mandali town, Diyala province, leaving one militant dead and one police officer wounded. ",33.747572 ,45.551891 ,1,Armed clashes/Violent incidents,ISIS
707549,Iraq,2019,2,23,"Suspected ISIS militants kill five civilians in an attack near Therthar Lake, in Anbar province.",33.98465,43.25215,5,"Armed clashes/Violent incidents, Human security",PMU
707558,Iraq,2019,2,16,"An Iraqi airstrike kills four suspected ISIS militants in an area near Baqubah, Diyala province.",33.75964,44.60666,4,Armed clashes/Violent incidents,ISIS
707559,Iraq,2019,2,17,"Suspected ISIS militants shoot dead two civilians in an attack in Rashad, Kirkuk province.",35.13585,44.08771,2,"Armed clashes/Violent incidents, Human security",ISIS
707563,Iraq,2019,2,18,"Iraqi forces kill seven suspected ISIS militants and arrest three others in Tal Afar, Nineveh province.",36.36236,42.40367,7,Armed clashes/Violent incidents,ISIS
707567,Iraq,2019,2,20,"Iraqi tribal fighters kill five suspected ISIS militants in clashes in an area close to Rutba, Anbar province.",33.03639,40.28333,5,Armed clashes/Violent incidents,Civilians
711446,Iraq,2019,4,4,"Iraqi Army airstrikes kill 14 Islamic State militants as they flee from their hideouts due to flooding in Wadi Qarha, southwest of Daquq, Kirkuk province.",35.0851,44.3879,14,Armed clashes/Violent incidents,ISIS
711449,Iraq,2019,4,6,"Iraqi security forces reportedly kill a prominent member of Islamic State during clashes in the desert near Razzaza Lake, southern Anbar province.",32.8816,43.1477,1,Armed clashes/Violent incidents,PUK security forces
711450,Iraq,2019,4,8,"Iraqi security forces kill two Islamic State militants as they attempt to plant a roadside bomb in al-Sakra, Anbar province.",34.2291,42.1448,2,Armed clashes/Violent incidents,ISIS
711452,Iraq,2019,4,8,"Clashes between Islamic State militants and Tribal Mobilisation Forces (TMF) in al-Madham village in Anbar province, result in the killing of four Islamic State militants. ",33.6151,41.3028,4,Armed clashes/Violent incidents,PMU
713073,Iraq,2019,4,9,"Iraqi security forces, backed by Tribal Mobilisation Forces (TMF), kill four Islamic State militants in a security operation between al-Qaim and Haditha districts in Anbar province. ",34.2758,41.7616,4,Armed clashes/Violent incidents,Civilians
713079,Iraq,2019,4,13,Iraqi security forces and Tribal Mobilisation Forces (TMF) conduct a security operation killing three members of Islamic State in al-Husainiat district in western Anbar.,33.1253,40.8531,3,Armed clashes/Violent incidents,ISIS
713081,Iraq,2019,4,13,"Anbar Operations Command forces, supported by the Iraqi Air Force, storm 18 Islamic State hideouts along the international highway in Anbar province, killing two ISIS members and arresting another two.",33.1433,41.5892,2,"Armed clashes/Violent incidents, Law enforcement",ISIS
713082,Iraq,2019,4,13,"Islamic State militants target a Popular Mobilisation Unit (PMU) checkpoint in the Gulay area of Khanaqin district, injuring two PMU fighters before their attack is repelled ",34.354,45.3832,NULL,Armed clashes/Violent incidents,Civilians
713083,Iraq,2019,4,13,"An Islamic State sniper opens fire on a security checkpoint in the Hamrin basin, northeast of Baqubah, Diyala province, injuring two soldiers.",34.1099,44.9733,NULL,Armed clashes/Violent incidents,Civilians
713084,Iraq,2019,4,14,"Iraqi military intelligence forces conduct a security operation in Abu Sayda district in Diyala province, killing one Islamic State militant and destroying several hideouts.",33.9269,44.7734,1,Armed clashes/Violent incidents,Civilians
713086,Iraq,2019,4,14,Iraqi security forces kill an Islamic State commander and four other fighters in a security operation in the Hamrin Mountains of northeast Iraq.,34.2479,45.3728,5,Armed clashes/Violent incidents,Civilians
713091,Iraq,2019,4,16,"The Iraqi Air Force, backed by US-led coalition forces, mounts an airstrike on a gathering of Islamic State militants in Daquq, eastern Kirkuk, killing 20 militants.",35.1428,44.4473,20,Armed clashes/Violent incidents,Civilians
713096,Iraq,2019,4,18,"Iraqi security forces, along with the Iraqi Air Force and tribal fighters, destroy three Islamic State hideouts and a booby-trapped house during a security operation in al-Waqf basin, Diyala.",33.8097,44.7069,NULL,Armed clashes/Violent incidents,Federal police
713097,Iraq,2019,4,19,"Iraqi security forces kill 12 ISIS militants and destroy their hideouts and combat equipment in Hawija, Kirkuk.",35.3233,43.7764,12,Armed clashes/Violent incidents,Federal police
713102,Iraq,2019,4,21,"Iraqi counter-terrorism forces kill a senior Islamic State leader, known as Abu Idris, in an operation in the Hamrin Mountains, Diyala.",34.4843,44.7466,1,Armed clashes/Violent incidents,ISIS
713104,Iraq,2019,4,22,"Iraqi civil defence forces recover the bodies of two civilians executed by Islamic State militants in a house in al-Qadsiah district, Tal Afar, Nineveh.",36.3864,42.4481,NULL,Armed clashes/Violent incidents,Civilians
713107,Iraq,2019,4,23,"Iraqi counter-terrorism forces kill four senior Islamic State militants during security operations in the Hamrin Mountains, Diyala province.",34.4843,44.7466,4,Armed clashes/Violent incidents,ISIS
714501,Iraq,2019,4,24,"ISIS militants conduct an attack east of Balad, near Yathrib, Salahuddin province killing one member of the Tribal Mobilisation Forces (TMF).",33.9794,44.2452,1,Armed clashes/Violent incidents,Civilians
714504,Iraq,2019,4,25,"ISIS hideouts near Zour village in Shirqat, Salahuddin province, are shelled by coalition forces.",35.4508,43.2619,NULL,Armed clashes/Violent incidents,Civilians
714507,Iraq,2019,4,26,"Iraqi counterterrorism forces kill 16 ISIS militants, destroy 21 hideouts and 14 underground tunnels, in operations in Wadi al-Shai, southwest of Daquq, Kirkuk province.",34.8239,44.2886,NULL,Armed clashes/Violent incidents,ISIS
714508,Iraq,2019,4,26,Iraqi forces kill one ISIS militant and arrest another 17 in the villages surrounding the town of Bashiqa.,36.4519,43.3406,1,Armed clashes/Violent incidents,Federal police
714509,Iraq,2019,4,26,"ISIS militants mount a mortar attack on civilians near Baqubah city, Diyala province, killing one farmer and injuring another.",33.7087,44.6379,1,Armed clashes/Violent incidents,Civilians
714514,Iraq,2019,4,27,"Iraqi Army Aviation conduct airstrikes on ISIS hideouts in al-Rashad, near Kirkuk, killing seven militants.",35.1361,44.0877,7,Armed clashes/Violent incidents,Civilians
714522,Iraq,2019,4,30,"ISIS releases a video showing the execution of a member of the PUK security forces, who was abducted by militants last week in Mount Qarachogh, Makhmour region.",35.8808,43.5469,1,Armed clashes/Violent incidents,ISIS
714527,Iraq,2019,5,2,"Iraqi security forces kill a senior ISIS official along with his aide during a security operation in Jabal al-Shoor, west of Nineveh province.",36.4917,42.1478,2,Armed clashes/Violent incidents,ISIS
714529,Iraq,2019,5,2,Popular Mobilisation Units (PMU) repel an attack by ISIS militants in Meteibeja along the Salahuddin–Diyala provincial border.,34.1592,44.2275,NULL,Armed clashes/Violent incidents,Civilians
714530,Iraq,2019,5,2,"ISIS militants attack a group of civilians in Knaus village, Shirqat, killing one off-duty Iraqi security force member and wounding another four civilians.",35.4443,43.1477,1,Armed clashes/Violent incidents,ISIS
714544,Iraq,2019,5,7,An Iraqi warplane is targeted with gunfire in the city of Qa’im. The plane responds to the source of fire with airstrikes killing five ISIS militants and destroying a truck.,34.3293,41.1453,5,Armed clashes/Violent incidents,Civilians
714545,Iraq,2019,5,7,A force of tribesmen in Anbar kills eight ISIS militants in the al-Jazira desert area.,34.9453,41.4397,8,Armed clashes/Violent incidents,ISIS
714547,Iraq,2019,5,7,"ISIS militants attack a family in al-Mazarie near Yathrib, killing three civilians and wounding another five.",34.0382,44.265,3,Armed clashes/Violent incidents,Oil Field
715431,Iraq,2019,5,8,"ISIS militants attack Adla village, southern Nineveh province, with mortar fire which injures two people.",36.024617,43.406392,NULL,Armed clashes/Violent incidents,ISIS
715432,Iraq,2019,5,8,"ISIS militants attack a mill in Mishali, Shirqat district, killing one guard while attempting to set explosives. The militants’ operation is compromised and flee the scene.",35.4742,43.218685,1,Armed clashes/Violent incidents,ISIS
715433,Iraq,2019,5,9,"ISIS militants break into a civilian home in the Kawar area of western Mosul, and kill all eight members of the family.",36.344606,43.089654,8,Armed clashes/Violent incidents,ISIS
715434,Iraq,2019,5,9,ISIS militants shoot dead five members of a family in an attack at a civilian home in the Hammam al-Allil area south of Mosul.,36.157795,43.256431,5,Armed clashes/Violent incidents,ISIS
715438,Iraq,2019,5,9,ISIS militants attack Marate village near Hawija. One federal police officer is killed in the clash.,35.383755,44.072402,1,Armed clashes/Violent incidents,Civilians
715441,Iraq,2019,5,10,"ISIS militants clash with Iraqi federal police in Hawija district, Kirkuk province, leading to the death of one police officer and the wounding of another two.",35.311761,43.767841,1,Armed clashes/Violent incidents,ISIS
715449,Iraq,2019,5,12,"The Salahuddin Operations Command and Popular Mobilisation Units (PMU) conduct a pre-emptive military operation in the Hamrin Mountains, killing three ISIS militants.",35.106279,43.468029,3,Armed clashes/Violent incidents,Iraqi Army
715450,Iraq,2019,5,12,"ISIS militants conduct an attack near Ahmed Tahir village in the suburbs of Khanaqin, Diyala province, killing two people.",34.306583,45.328556,2,Armed clashes/Violent incidents,ISIS
715454,Iraq,2019,5,13,"Iraqi security forces and  Popular Mobilisation Units (PMU) kill three ISIS militants in the town of Qairawan, west of Mosul, as they attempt to sneak into the district.",36.1575,42.041667,3,Armed clashes/Violent incidents,ISIS
715456,Iraq,2019,5,13,"ISIS militants mount an attack on Habib Abdallah village, Khanaqin, Diyala province, killing two tribesmen.",34.315591,45.321949,2,Armed clashes/Violent incidents,Federal police - checkpoint
715459,Iraq,2019,5,14,ISIS militants set fire to a number of farms in Aliarash village near the Qarachoukh mountains in Makhmour.,35.672778,43.6975,NULL,Armed clashes/Violent incidents,ISIS
717067,Iraq,2019,5,15,"Iraqi security forces kill nine ISIS militants, destroy several command centres and tunnels used by the group, and seize a large cache of weapons and explosives during a pre-emptive operation in the Houran Valley, Anbar province.",32.976667,40.184167,9,Armed clashes/Violent incidents,Federal police
717071,Iraq,2019,5,15,"ISIS militants ambush Iraqi federal police in Riyadh, in the southwest of Kirkuk district, killing four officers and a member of the federal police.",35.159167,43.904444,5,Armed clashes/Violent incidents,ISIS
717082,Iraq,2019,5,18,"ISIS militants set fire to 12 houses in Tel Rumman village, western Mosul.",36.315278,43.088611,NULL,Armed clashes/Violent incidents,ISIS
717086,Iraq,2019,5,18,"ISIS militants burn wheat and barley farms in Riyadh district, southwest Kirkuk province.",35.264044,43.959346,NULL,Armed clashes/Violent incidents,ISIS
717095,Iraq,2019,5,20,Popular Mobilisation Units (PMU) forces kill three ISIS militants during an operation to hunt for ISIS remnants in Salahuddin province.,34.563896,43.4501443,3,Armed clashes/Violent incidents,ISIS
717101,Iraq,2019,5,21,"The Iraqi Security Media Cell reports on a military operation against ISIS in Salahuddin province, saying that troops killed 11 militants, and discovered 13 hideouts, 16 explosive belts, and three tunnels.",34.608166,43.282226,11,"Armed clashes/Violent incidents, Law enforcement, Military developments",ISIS
717120,Iraq,2019,5,24,"ISIS militants kill one civilian and leave another wounded in an attack on Muskhan village, near Hit City.",33.698591,42.747322,1,Armed clashes/Violent incidents,ISIS
717123,Iraq,2019,5,25,"Iraqi Army troops kill two ISIS militants in Tal Abta district, Nineveh province.",35.9425,42.561111,2,Armed clashes/Violent incidents,ISIS
717124,Iraq,2019,5,25,"ISIS militants conduct an attack on agricultural land in Shirqat district, Salahuddin province, killing five farmers and burning their harvest.",35.549108,43.251262,5,"Armed clashes/Violent incidents, Human security",Iraqi Army - checkpoint
717125,Iraq,2019,5,25,"The  Popular Mobilisation Unit (PMU) forces kill four ISIS militants and destroy a tunnel complex they were hiding in during an operation in Shirqat district, Salahuddin province. ",35.474167,43.168333,4,"Armed clashes/Violent incidents, Military developments",ISIS
718239,Iraq,2019,5,27,"The Energy Police and Popular Mobilisation Units (PMUs) repel an attempted ISIS attack on the Alas Oil Field, Salahuddin province.",34.830556,44.051111,NULL,"Armed clashes/Violent incidents, Energy",ISIS
718241,Iraq,2019,5,28,"The Iraqi Air Force conducts airstrikes targeting ISIS militants in Allas district, Salahuddin province, killing ten militants and destroying two armoured vehicles and two oil tankers.",34.695981,44.085084,10,Armed clashes/Violent incidents,Civilians
718245,Iraq,2019,5,29,"Iraqi counter-terrorism forces kill 14 ISIS militants during a security operation in al-Hadar, Nineveh province.",35.576259,42.720254,14,Armed clashes/Violent incidents,Civilians
718248,Iraq,2019,5,30,Iraqi Security Forces liberate a Yazidi woman from ISIS captivity in a hideout in Anbar province. Seven ISIS militants are killed during the operation.,33.430695,43.284944,7,Armed clashes/Violent incidents,Federal police - checkpoint
718249,Iraq,2019,5,30,"Iraqi counter-terrorism forces conduct an operation in the deserts of Mosul, Nineveh province, destroying four tunnels belonging to ISIS, and killing a number of militants.",36.349954,43.145607,NULL,Armed clashes/Violent incidents,ISIS
718251,Iraq,2019,5,30,"ISIS militants set agricultural fields on fire in Daquq district, southern Kirkuk province, killing one person.",35.056762,44.302304,1,Armed clashes/Violent incidents,ISIS
718255,Iraq,2019,6,1,"Iraqi counter-terrorism forces kill six ISIS militants and seize their weapons during an operation in al-Ayadiya, Nineveh province.",36.483509,42.422973,6,Armed clashes/Violent incidents,ISIS
718256,Iraq,2019,6,2,"Iraqi army personnel clash with ISIS militants in al-Husainiyat area, Anbar province, leaving one army officer dead and another three injured, with several ISIS militants also injured.",33.125278,40.853056,1,Armed clashes/Violent incidents,ISIS
